address,price,beds,baths,area,statusText,latitude,longitude,url
"3030 W Christy Dr, Phoenix, AZ 85029","$428,000",3,2,2064,House for sale,33.584816,-112.124664,https://www.zillow.com/homedetails/3030-W-Christy-Dr-Phoenix-AZ-85029/7739773_zpid/
"4317 E Ludlow Dr, Phoenix, AZ 85032","$699,900",3,2,1989,House for sale,33.611973,-111.98901,https://www.zillow.com/homedetails/4317-E-Ludlow-Dr-Phoenix-AZ-85032/8030254_zpid/
"9641 N 36th Dr, Phoenix, AZ 85051","$365,000",3,2,1574,House for sale,33.574802,-112.137,https://www.zillow.com/homedetails/9641-N-36th-Dr-Phoenix-AZ-85051/7745723_zpid/
"17244 N 29th Ave, Phoenix, AZ 85053","$350,000",3,2,1445,House for sale,33.643093,-112.12211,https://www.zillow.com/homedetails/17244-N-29th-Ave-Phoenix-AZ-85053/7942149_zpid/
"3102 E Desert Broom Way, Phoenix, AZ 85048","$1,100,000",4,2.5,3034,House for sale,33.31862,-112.019325,https://www.zillow.com/homedetails/3102-E-Desert-Broom-Way-Phoenix-AZ-85048/8150267_zpid/
"2531 W Saint Catherine Ave, Phoenix, AZ 85041","$424,999",4,2.5,2106,House for sale,33.387344,-112.11305,https://www.zillow.com/homedetails/2531-W-Saint-Catherine-Ave-Phoenix-AZ-85041/60976882_zpid/
"5850 W Cheery Lynn Rd, Phoenix, AZ 85031","$273,000",4,2,1440,House for sale,33.485428,-112.18609,https://www.zillow.com/homedetails/5850-W-Cheery-Lynn-Rd-Phoenix-AZ-85031/7497539_zpid/
"10844 N 37th Way, Phoenix, AZ 85028","$725,000",5,3,2351,House for sale,33.585854,-112.001366,https://www.zillow.com/homedetails/10844-N-37th-Way-Phoenix-AZ-85028/7819538_zpid/
"1202 E Libby St, Phoenix, AZ 85022","$565,900",4,3,2324,House for sale,33.648552,-112.05666,https://www.zillow.com/homedetails/1202-E-Libby-St-Phoenix-AZ-85022/8001819_zpid/
"1706 E John Cabot Rd, Phoenix, AZ 85022","$139,900",3,2,1430,Home for sale,33.649467,-112.04658,https://www.zillow.com/homedetails/1706-E-John-Cabot-Rd-Phoenix-AZ-85022/2068616633_zpid/
"12043 N 46th Ave, Glendale, AZ 85304","$425,000",4,2,1737,House for sale,33.595985,-112.15765,https://www.zillow.com/homedetails/12043-N-46th-Ave-Glendale-AZ-85304/7727198_zpid/
"1808 W Rose Ln, Phoenix, AZ 85015","$365,000",3,2,1352,Townhouse for sale,33.52794,-112.09789,https://www.zillow.com/homedetails/1808-W-Rose-Ln-Phoenix-AZ-85015/7774230_zpid/
"7007 S 45th Pl, Phoenix, AZ 85042","$320,000",3,2,1120,House for sale,33.383423,-111.98365,https://www.zillow.com/homedetails/7007-S-45th-Pl-Phoenix-AZ-85042/445531575_zpid/
"6823 W Garfield St, Phoenix, AZ 85043","$285,000",3,2,1080,House for sale,33.45708,-112.20679,https://www.zillow.com/homedetails/6823-W-Garfield-St-Phoenix-AZ-85043/7476158_zpid/
"3722 W Hadley St, Phoenix, AZ 85009","$300,000",5,2,1500,House for sale,33.440132,-112.1398,https://www.zillow.com/homedetails/3722-W-Hadley-St-Phoenix-AZ-85009/7506263_zpid/
"11404 S 38th Ave, Laveen, AZ 85339","$985,000",3,2.5,3190,House for sale,33.3427,-112.14191,https://www.zillow.com/homedetails/11404-S-38th-Ave-Laveen-AZ-85339/338666658_zpid/
"11802 N 25th Ave, Phoenix, AZ 85029","$264,000",4,2,1284,House for sale,33.59333,-112.11222,https://www.zillow.com/homedetails/11802-N-25th-Ave-Phoenix-AZ-85029/7749419_zpid/
